steering,speed,basereward,reward
0,0.8,1,1.0
0,1.0,1,1.0
0,1.2,1,1.0
0,1.4,1,1.0
0,1.6,1,1.0
0,1.8,1,1.0
0,2.0,1,1.0
0,2.2,1,1.1776470588235295
0,2.4,1,1.2247058823529413
0,2.6,1,1.2717647058823531
0,2.8,1,1.3188235294117647
0,3.0,1,1.5845454545454545
0,3.2,1,1.6348484848484848
0,3.4,1,1.0
0,3.6,1,1.0
0,3.8,1,1.0
0,4.0,1,1.0
1,0.8,1,1.0
1,1.0,1,1.0
1,1.2,1,1.0
1,1.4,1,1.0
1,1.6,1,1.0
1,1.8,1,1.0
1,2.0,1,1.0
1,2.2,1,1.1776470588235295
1,2.4,1,1.2247058823529413
1,2.6,1,1.2717647058823531
1,2.8,1,1.3188235294117647
1,3.0,1,1.5845454545454545
1,3.2,1,1.6348484848484848
1,3.4,1,1.0
1,3.6,1,1.0
1,3.8,1,1.0
1,4.0,1,1.0
2,0.8,1,1.0
2,1.0,1,1.0
2,1.2,1,1.0
2,1.4,1,1.0
2,1.6,1,1.0
2,1.8,1,1.0
2,2.0,1,1.0
2,2.2,1,1.1776470588235295
2,2.4,1,1.2247058823529413
2,2.6,1,1.2717647058823531
2,2.8,1,1.3188235294117647
2,3.0,1,1.5845454545454545
2,3.2,1,1.6348484848484848
2,3.4,1,1.0
2,3.6,1,1.0
2,3.8,1,1.0
2,4.0,1,1.0
3,0.8,1,1.0
3,1.0,1,1.0
3,1.2,1,1.0
3,1.4,1,1.0
3,1.6,1,1.0
3,1.8,1,1.0
3,2.0,1,1.0
3,2.2,1,1.1776470588235295
3,2.4,1,1.2247058823529413
3,2.6,1,1.2717647058823531
3,2.8,1,1.3188235294117647
3,3.0,1,1.0
3,3.2,1,1.0
3,3.4,1,1.0
3,3.6,1,1.0
3,3.8,1,1.0
3,4.0,1,1.0
4,0.8,1,1.0
4,1.0,1,1.0
4,1.2,1,1.0
4,1.4,1,1.0
4,1.6,1,1.0
4,1.8,1,1.0
4,2.0,1,1.0
4,2.2,1,1.1776470588235295
4,2.4,1,1.2247058823529413
4,2.6,1,1.2717647058823531
4,2.8,1,1.3188235294117647
4,3.0,1,1.0
4,3.2,1,1.0
4,3.4,1,1.0
4,3.6,1,1.0
4,3.8,1,1.0
4,4.0,1,1.0
5,0.8,1,1.0
5,1.0,1,1.0
5,1.2,1,1.0
5,1.4,1,1.0
5,1.6,1,1.0
5,1.8,1,1.0
5,2.0,1,1.0
5,2.2,1,1.1776470588235295
5,2.4,1,1.2247058823529413
5,2.6,1,1.2717647058823531
5,2.8,1,1.3188235294117647
5,3.0,1,1.0
5,3.2,1,1.0
5,3.4,1,1.0
5,3.6,1,1.0
5,3.8,1,1.0
5,4.0,1,1.0
6,0.8,1,1.0
6,1.0,1,1.0
6,1.2,1,1.0
6,1.4,1,1.0
6,1.6,1,1.0
6,1.8,1,1.0
6,2.0,1,1.0
6,2.2,1,1.1776470588235295
6,2.4,1,1.2247058823529413
6,2.6,1,1.2717647058823531
6,2.8,1,1.3188235294117647
6,3.0,1,1.0
6,3.2,1,1.0
6,3.4,1,1.0
6,3.6,1,1.0
6,3.8,1,1.0
6,4.0,1,1.0
7,0.8,1,1.0
7,1.0,1,1.0
7,1.2,1,1.0
7,1.4,1,1.0
7,1.6,1,1.0
7,1.8,1,1.0
7,2.0,1,1.0
7,2.2,1,1.0
7,2.4,1,1.0
7,2.6,1,1.0
7,2.8,1,1.0
7,3.0,1,1.0
7,3.2,1,1.0
7,3.4,1,1.0
7,3.6,1,1.0
7,3.8,1,1.0
7,4.0,1,1.0
8,0.8,1,1.0
8,1.0,1,1.0
8,1.2,1,1.0
8,1.4,1,1.0
8,1.6,1,1.0
8,1.8,1,1.0
8,2.0,1,1.0
8,2.2,1,1.0
8,2.4,1,1.0
8,2.6,1,1.0
8,2.8,1,1.0
8,3.0,1,1.0
8,3.2,1,1.0
8,3.4,1,1.0
8,3.6,1,1.0
8,3.8,1,1.0
8,4.0,1,1.0
9,0.8,1,1.0
9,1.0,1,1.0
9,1.2,1,1.0
9,1.4,1,1.0
9,1.6,1,1.0
9,1.8,1,1.0
9,2.0,1,1.0
9,2.2,1,1.0
9,2.4,1,1.0
9,2.6,1,1.0
9,2.8,1,1.0
9,3.0,1,1.0
9,3.2,1,1.0
9,3.4,1,1.0
9,3.6,1,1.0
9,3.8,1,1.0
9,4.0,1,1.0
10,0.8,1,1.0
10,1.0,1,1.0
10,1.2,1,1.0
10,1.4,1,1.0
10,1.6,1,1.0
10,1.8,1,1.0
10,2.0,1,1.0
10,2.2,1,1.0
10,2.4,1,1.0
10,2.6,1,1.0
10,2.8,1,1.0
10,3.0,1,1.0
10,3.2,1,1.0
10,3.4,1,1.0
10,3.6,1,1.0
10,3.8,1,1.0
10,4.0,1,1.0
11,0.8,1,1.0
11,1.0,1,1.0
11,1.2,1,1.0
11,1.4,1,1.0
11,1.6,1,1.0
11,1.8,1,1.0
11,2.0,1,1.0
11,2.2,1,1.0
11,2.4,1,1.0
11,2.6,1,1.0
11,2.8,1,1.0
11,3.0,1,1.0
11,3.2,1,1.0
11,3.4,1,1.0
11,3.6,1,1.0
11,3.8,1,1.0
11,4.0,1,1.0
12,0.8,1,1.0
12,1.0,1,1.0
12,1.2,1,1.0
12,1.4,1,1.0
12,1.6,1,1.0
12,1.8,1,1.0
12,2.0,1,1.0
12,2.2,1,1.0
12,2.4,1,1.0
12,2.6,1,1.0
12,2.8,1,1.0
12,3.0,1,1.0
12,3.2,1,1.0
12,3.4,1,1.0
12,3.6,1,1.0
12,3.8,1,1.0
12,4.0,1,1.0
13,0.8,1,1.0
13,1.0,1,1.0
13,1.2,1,1.0
13,1.4,1,1.0
13,1.6,1,1.0
13,1.8,1,1.0
13,2.0,1,1.0
13,2.2,1,1.0
13,2.4,1,1.0
13,2.6,1,1.0
13,2.8,1,1.0
13,3.0,1,1.0
13,3.2,1,1.0
13,3.4,1,1.0
13,3.6,1,1.0
13,3.8,1,1.0
13,4.0,1,1.0
14,0.8,1,1.0
14,1.0,1,1.0
14,1.2,1,1.0
14,1.4,1,1.0
14,1.6,1,1.0
14,1.8,1,1.0
14,2.0,1,1.0
14,2.2,1,1.0
14,2.4,1,1.0
14,2.6,1,1.0
14,2.8,1,1.0
14,3.0,1,1.0
14,3.2,1,1.0
14,3.4,1,1.0
14,3.6,1,1.0
14,3.8,1,1.0
14,4.0,1,1.0
15,0.8,1,1.0
15,1.0,1,1.0
15,1.2,1,1.0
15,1.4,1,1.0
15,1.6,1,1.0
15,1.8,1,1.0
15,2.0,1,1.0
15,2.2,1,1.0
15,2.4,1,1.0
15,2.6,1,1.0
15,2.8,1,1.0
15,3.0,1,1.0
15,3.2,1,1.0
15,3.4,1,1.0
15,3.6,1,1.0
15,3.8,1,1.0
15,4.0,1,1.0
16,0.8,1,1.0
16,1.0,1,1.0
16,1.2,1,1.0
16,1.4,1,1.0
16,1.6,1,1.0
16,1.8,1,1.0
16,2.0,1,1.0
16,2.2,1,1.0
16,2.4,1,1.0
16,2.6,1,1.0
16,2.8,1,1.0
16,3.0,1,1.0
16,3.2,1,1.0
16,3.4,1,1.0
16,3.6,1,1.0
16,3.8,1,1.0
16,4.0,1,1.0
17,0.8,1,1.0
17,1.0,1,1.0
17,1.2,1,1.0
17,1.4,1,1.0
17,1.6,1,1.0
17,1.8,1,1.0
17,2.0,1,1.0
17,2.2,1,1.0
17,2.4,1,1.0
17,2.6,1,1.0
17,2.8,1,1.0
17,3.0,1,1.0
17,3.2,1,1.0
17,3.4,1,1.0
17,3.6,1,1.0
17,3.8,1,1.0
17,4.0,1,1.0
18,0.8,1,1.0
18,1.0,1,1.0
18,1.2,1,1.0
18,1.4,1,1.0
18,1.6,1,1.0
18,1.8,1,1.0
18,2.0,1,1.0
18,2.2,1,1.0
18,2.4,1,1.0
18,2.6,1,1.0
18,2.8,1,1.0
18,3.0,1,1.0
18,3.2,1,1.0
18,3.4,1,1.0
18,3.6,1,1.0
18,3.8,1,1.0
18,4.0,1,1.0
19,0.8,1,1.0
19,1.0,1,1.0
19,1.2,1,1.0
19,1.4,1,1.0
19,1.6,1,1.0
19,1.8,1,1.0
19,2.0,1,1.0
19,2.2,1,1.0
19,2.4,1,1.0
19,2.6,1,1.0
19,2.8,1,1.0
19,3.0,1,1.0
19,3.2,1,1.0
19,3.4,1,1.0
19,3.6,1,1.0
19,3.8,1,1.0
19,4.0,1,1.0
20,0.8,1,1.0
20,1.0,1,1.0
20,1.2,1,1.0
20,1.4,1,1.0
20,1.6,1,1.0
20,1.8,1,1.0
20,2.0,1,1.0
