steering,speed
-22.5,1.2
-22.5,1.4

-20.0,1.2
-20.0,1.4

-17.5,1.2
-17.5,1.4
-17.5,1.6

-15.0,1.2
-15.0,1.4
-15.0,1.6

-12.5,1.4
-12.5,1.6
-12.5,1.8

-10.0,1.4
-10.0,1.6
-10.0,1.8

-7.5,1.6
-7.5,1.8
-7.5,2.0
-7.5,2.2

-5.0,1.6
-5.0,1.8
-5.0,2.0
-5.0,2.2

-2.5,2.0
-2.5,2.2
-2.5,2.4
-2.5,2.6
-2.5,2.8

0.0,2.4
0.0,2.6
0.0,2.8
0.0,3.0
0.0,3.2

2.5,1.2
2.5,1.4
2.5,1.6
2.5,1.8
2.5,2.0

5.0,1.6
5.0,1.8
5.0,2.0
5.0,2.2

7.5,1.6
7.5,1.8
7.5,2.0
7.5,2.2

10.0,1.2
10.0,1.4
10.0,1.6
10.0,1.8

12.5,1.4
12.5,1.6
12.5,1.8

15.0,1.2
15.0,1.4
15.0,1.6

17.5,1.2
17.5,1.4
17.5,1.6

20.0,1.2
20.0,1.4

22.5,1.2
22.5,1.4

25.0,1.2
25.0,1.4

27.5,1.2
27.5,1.4

30.0,1.2
30.0,1.4
