steering,speed,basereward,reward
0.0,1.75,1,1.0
0.0,2.0,1,1.0
0.0,2.25,1,1.1885714285714286
0.0,2.5,1,1.22
0.0,2.75,1,1.264
0.0,3.0,1,1.33
0.0,3.25,1,1.44
0.0,3.5,1,1.6600000000000001
0.0,3.75,1,2.3200000000000003
0.0,4.0,1,2.33
0.5,1.75,1,1.0
0.5,2.0,1,1.0
0.5,2.25,1,1.2
0.5,2.5,1,1.2357142857142858
0.5,2.75,1,1.2869565217391306
0.5,3.0,1,1.3666666666666667
0.5,3.25,1,1.5076923076923077
0.5,3.5,1,1.8250000000000002
0.5,3.75,1,2.33
0.5,4.0,1,2.33
1.0,1.75,1,1.0
1.0,2.0,1,1.0
1.0,2.25,1,1.2129032258064516
1.0,2.5,1,1.2538461538461538
1.0,2.75,1,1.3142857142857143
1.0,3.0,1,1.4125
1.0,3.25,1,1.6
1.0,3.5,1,2.1000000000000005
1.0,3.75,1,2.33
1.0,4.0,1,1.8249999999999993
1.5,1.75,1,1.0
1.5,2.0,1,1.0
1.5,2.25,1,1.2275862068965517
1.5,2.5,1,1.275
1.5,2.75,1,1.3473684210526315
1.5,3.0,1,1.4714285714285713
1.5,3.25,1,1.733333333333333
1.5,3.5,1,2.6499999999999986
1.5,3.75,1,2.33
1.5,4.0,1,1.5500000000000003
2.0,1.75,1,1.0
2.0,2.0,1,1.0
2.0,2.25,1,1.264
2.0,2.5,1,1.33
2.0,2.75,1,1.44
2.0,3.0,1,1.6600000000000001
2.0,3.25,1,2.3200000000000003
2.0,3.5,1,2.33
2.0,3.75,1,1.6600000000000001
2.0,4.0,1,1.33
2.5,1.75,1,1.0
2.5,2.0,1,1.0
2.5,2.25,1,1.3142857142857143
2.5,2.5,1,1.4125
2.5,2.75,1,1.6
2.5,3.0,1,2.1000000000000005
2.5,3.25,1,2.33
2.5,3.5,1,1.8249999999999993
2.5,3.75,1,1.3666666666666665
2.5,4.0,1,1.2357142857142858
3.0,1.75,1,1.0
3.0,2.0,1,1.0
3.0,2.25,1,1.388235294117647
3.0,2.5,1,1.5499999999999998
3.0,2.75,1,1.9428571428571426
3.0,3.0,1,2.33
3.0,3.25,1,2.33
3.0,3.5,1,1.4125
3.0,3.75,1,1.2538461538461538
3.0,4.0,1,1.1833333333333333
3.5,1.75,1,1.0
3.5,2.0,1,1.0
3.5,2.25,1,1.5076923076923077
3.5,2.5,1,1.8250000000000002
3.5,2.75,1,2.33
3.5,3.0,1,2.33
3.5,3.25,1,1.4714285714285713
3.5,3.5,1,1.275
3.5,3.75,1,1.1941176470588235
3.5,4.0,1,1.15
4.0,1.75,1,1.0
4.0,2.0,1,1.0
4.0,2.25,1,1.733333333333333
4.0,2.5,1,2.6499999999999986
4.0,2.75,1,2.33
4.0,3.0,1,1.5500000000000003
4.0,3.25,1,1.3
4.0,3.5,1,1.20625
4.0,3.75,1,1.1571428571428573
4.0,4.0,1,1.126923076923077
4.5,1.75,1,1.0
4.5,2.0,1,1.0
4.5,2.25,1,2.33
4.5,2.5,1,2.33
4.5,2.75,1,1.4714285714285713
4.5,3.0,1,1.275
4.5,3.25,1,1.1941176470588235
4.5,3.5,1,1.15
4.5,3.75,1,1.1222222222222222
4.5,4.0,1,1.103125
